MJD filter mag dmag
59921.668888 DLT40 16.2218 0.0257
59921.694807 DLT40 16.2393 0.0176
59921.757091 DLT40 16.2342 0.0386
59922.556697 DLT40 16.1455 0.0130
59922.611442 DLT40 16.1169 0.0183
59922.628470 DLT40 16.1663 0.0211
59922.737676 DLT40 16.1644 0.0285
59922.778187 DLT40 16.2132 0.0335
59922.790249 DLT40 16.2558 0.0442
59923.569918 DLT40 16.0900 0.0125
59923.648916 DLT40 16.1092 0.0110
59923.657459 DLT40 16.1283 0.0143
59923.665950 DLT40 16.1432 0.0108
59923.666775 DLT40 16.1110 0.0116
59923.688625 DLT40 16.1537 0.0175
59923.720184 DLT40 16.1402 0.0164
59923.747882 DLT40 16.1182 0.0184
59924.553037 DLT40 16.0910 0.0103
59924.606748 DLT40 16.0924 0.0118
59924.633795 DLT40 16.0879 0.0127
59924.661254 DLT40 16.1148 0.0130
59924.680882 DLT40 16.1234 0.0141
59924.705536 DLT40 16.1322 0.0141
59924.779264 DLT40 16.1504 0.0268
59925.530892 DLT40 16.0931 0.0146
59925.557115 DLT40 16.0779 0.0128
59925.708927 DLT40 16.0867 0.0209
59926.028085 DLT40 16.1120 0.0178
59926.039773 DLT40 16.1133 0.0100
59926.132314 DLT40 16.1343 0.0108
59926.172526 DLT40 16.0896 0.0143
59926.222389 DLT40 16.0812 0.0182
59926.247784 DLT40 16.1749 0.0166
59926.293905 DLT40 16.1544 0.0210
59926.306005 DLT40 16.1770 0.0236
59926.511514 DLT40 16.1161 0.0180
59926.536932 DLT40 16.0674 0.0109
59926.629619 DLT40 16.0886 0.0110
59926.691277 DLT40 16.1138 0.0145
59926.763395 DLT40 16.1572 0.0196
59927.202022 DLT40 16.1852 0.0157
59927.225415 DLT40 16.1576 0.0148
59927.252217 DLT40 16.1411 0.0133
59927.258653 DLT40 16.1572 0.0242
59927.305273 DLT40 16.1672 0.0239
59927.562360 DLT40 15.7973 0.0327
59927.700914 DLT40 16.1583 0.0164
59927.764814 DLT40 16.1805 0.0318
59928.093747 DLT40 16.1197 0.0100
59928.119351 DLT40 16.1549 0.0091
59928.142648 DLT40 16.1164 0.0102
59928.220802 DLT40 16.1224 0.0095
59928.242044 DLT40 16.0730 0.0144
59928.264926 DLT40 16.1595 0.0133
59928.293829 DLT40 16.1738 0.0117
59928.683164 DLT40 16.1201 0.0179
59929.182580 DLT40 16.1225 0.0446
59929.549056 DLT40 16.0721 0.0097
59929.770313 DLT40 16.1322 0.0271
59930.035739 DLT40 16.1038 0.0203
59930.036574 DLT40 16.0737 0.0142
59930.037283 DLT40 16.1232 0.0153
59930.055888 DLT40 16.0900 0.0119
59930.056591 DLT40 16.1453 0.0106
59930.189377 DLT40 16.0907 0.0153
59930.197698 DLT40 16.1211 0.0134
59930.256527 DLT40 16.1684 0.0174
59930.266511 DLT40 16.1054 0.0189
59930.515580 DLT40 16.1001 0.0105
59930.616629 DLT40 16.0629 0.0105
59930.684975 DLT40 16.1026 0.0100
59930.693287 DLT40 16.0923 0.0113
59931.092466 DLT40 16.0882 0.0120
59931.181190 DLT40 16.0308 0.0124
59931.181896 DLT40 16.0403 0.0119
59931.567648 DLT40 16.0606 0.0090
59931.569389 DLT40 16.0576 0.0094
59931.664863 DLT40 16.0543 0.0113
59931.764000 DLT40 16.1483 0.0173
59932.075240 DLT40 16.0125 0.0472
59932.075242 DLT40 16.0595 0.0133
59932.146969 DLT40 16.0707 0.0117
59932.198523 DLT40 16.0819 0.0131
59932.225370 DLT40 16.0359 0.0460
59932.225374 DLT40 16.0842 0.0127
59932.530496 DLT40 16.0530 0.0166
59933.083342 DLT40 16.0284 0.0114
59933.130476 DLT40 16.0254 0.0114
59933.156810 DLT40 16.0465 0.0465
59933.156811 DLT40 16.0609 0.0127
59933.227369 DLT40 16.0767 0.0119
59933.273678 DLT40 16.0835 0.0135
59934.084162 DLT40 16.0746 0.0108
59934.219182 DLT40 16.1119 0.0101
59934.253260 DLT40 16.1369 0.0105
59935.032067 DLT40 16.0772 0.0202
59935.082241 DLT40 16.1287 0.0136
59935.126128 DLT40 16.0937 0.0128
59935.184682 DLT40 16.1303 0.0122
59935.222180 DLT40 16.1026 0.0118
59936.032428 DLT40 16.1338 0.0203
59936.079386 DLT40 16.1373 0.0118
59936.085707 DLT40 16.0916 0.0128
59936.138192 DLT40 16.1152 0.0147
59936.183885 DLT40 16.1106 0.0132
59936.245494 DLT40 16.1847 0.0094
59936.282291 DLT40 16.1668 0.0165
59937.160560 DLT40 16.1728 0.0111
59937.209554 DLT40 16.1728 0.0100
59938.073706 DLT40 16.0914 0.0115
